,,,,,,,28/07/2026,RELATÓRIO BAHIA ATUALIZADO,,,,28/07/2026,,EM VERDE DATA REPROGRAMADA,,28/07/2026,,,,,,,,
,,,EM VERMELHO CÓD. DA CARTELA NÃO LOCALIZADO,,,,28/07/2026 10:10:01,,,,DÚVIDA CLICA AQUI,https://encurtador.com.br/2bDAO,,SEMPRE VERIFICAR O FILTRO PRAZO,,,,,,,,,,
Coluna 1,cartela,CLIENTE,CÓD. FILIAL,PEDIDO,CÓD. CLIENTE,CÓD. MARFIM,DESCRIÇÃO,TAMANHO,ORD. COMPRA,QTD. ABERTA,LOTES,código OS,DT. RECEBIMENTO,DT. ENTREGA,PRAZO,POSIÇÃO NA PRODUÇÃO,DATA SISTEMA,Coluna 2,DATA ALTERADA,cartelas,CÓDIGO ALTERADO,Column 24,códigos do sistema,conta e ordem
294,OK,DASS SEST,7,139574,1299257,86978,ATAC. MR130027 6MM RECICLADO COR 4085/PET,110CM,15816414,180,134325,15815477NBR3282905,11/06/2026,08/09/2026,42,REPROG.,07/09/26,,08/09/2026,,#N/A,1299257,NIKE,
295,OK,DASS SEST,7,139574,1299257,86978,ATAC. MR130027 6MM RECICLADO COR 4085/PET,110CM,15816414,204,134325,15815478NBR3282905,11/06/2026,08/09/2026,42,REPROG.,07/09/26,,08/09/2026,,#N/A,1299257,NIKE,
296,OK,DASS SEST,7,139574,1301800,88695,ATAC. MR130027 6MM RECICLADO COR 4662/PET,95CM,15816414,427,134325,15815491NBR3282847,11/06/2026,08/09/2026,42,REPROG.,07/09/26,,08/09/2026,,#N/A,1301800,NIKE,
297,OK,DASS SEST,7,139574,1301800,88695,ATAC. MR130027 6MM RECICLADO COR 4662/PET,100CM,15816414,538,134325,15815491NBR3282847,11/06/2026,08/09/2026,42,REPROG.,07/09/26,,08/09/2026,,#N/A,1301800,NIKE,
298,OK,DASS SEST,7,139574,1301800,88695,ATAC. MR130027 6MM RECICLADO COR 4662/PET,100CM,15816414,256,134325,15815497NBR3282893,11/06/2026,08/09/2026,42,REPROG.,07/09/26,,08/09/2026,,#N/A,1301800,NIKE,
299,OK,DASS SEST,7,139574,1301800,88695,ATAC. MR130027 6MM RECICLADO COR 4662/PET,105CM,15816414,61,134325,15815491NBR3282847,11/06/2026,08/09/2026,42,REPROG.,07/09/26,,08/09/2026,,#N/A,1301800,NIKE,
300,OK,DASS SEST,7,139574,1301800,88695,ATAC. MR130027 6MM RECICLADO COR 4662/PET,105CM,15816414,788,134325,15815497NBR3282893,11/06/2026,08/09/2026,42,REPROG.,07/09/26,,08/09/2026,,#N/A,1301800,NIKE,
301,OK,DASS SEST,7,139574,1301800,88695,ATAC. MR130027 6MM RECICLADO COR 4662/PET,110CM,15816414,231,134325,15815497NBR3282893,11/06/2026,08/09/2026,42,REPROG.,07/09/26,,08/09/2026,,#N/A,1301800,NIKE,
352,OK,DASS SEST,7,139656,1188919,82628,ATAC. MR140014 6MM RECICLADO COR 4085/PET,100CM,15819910,12,134366,15818122NBR3283039,12/06/2026,08/09/2026,42,REPROG.,07/09/26,,08/09/2026,,#N/A,1188919,NIKE,
353,OK,DASS SEST,7,139656,1188919,82628,ATAC. MR140014 6MM RECICLADO COR 4085/PET,105CM,15819910,264,134366,15818122NBR3283039,12/06/2026,08/09/2026,42,REPROG.,07/09/26,,08/09/2026,,#N/A,1188919,NIKE,
